time,theta1,theta2,theta3,theta4,theta5
6.2916,101.7264,82.8832,89.9000,212.2264,179.2844
6.3551,102.0035,83.2140,89.5991,212.1453,179.5841
6.4254,102.1387,83.5246,89.3408,212.0970,179.7921
6.4892,102.3487,83.8518,89.1570,211.9767,179.8982
6.5549,102.5037,84.1366,88.9900,211.9027,179.9871
6.6233,102.6499,84.3685,88.9035,211.7745,180.3957
6.6852,102.8524,84.6195,88.8844,211.6140,180.9087
6.7640,103.0511,84.9271,88.8790,211.4908,181.2769
6.8384,103.2646,85.2170,88.8797,211.3656,181.5277
6.9055,103.3821,85.4238,88.9466,211.3710,181.8380
6.9767,103.3519,85.6800,88.9614,211.3573,182.0015
7.0360,103.3674,85.9283,89.0070,211.3238,182.0273
7.1105,102.7388,86.1721,89.0851,211.2352,182.0335
7.1768,102.2258,86.4004,89.1963,211.1177,182.2798
7.2393,101.7985,86.6041,89.2781,210.9839,182.4364
7.3080,101.7637,86.9002,89.2438,210.7881,182.3054
7.3767,101.8071,87.2245,89.2350,210.5101,182.1088
7.4413,101.6718,87.3677,89.1671,210.2452,181.9173
7.5125,101.7352,87.5827,89.0828,209.9309,182.0448
7.5795,101.8752,87.7890,88.9636,209.6113,182.1112
7.6456,102.1050,88.0172,88.8822,209.3392,182.1913
7.7048,102.4347,88.0978,88.9348,209.2444,182.5694
7.7701,102.7019,88.1400,89.0315,209.2130,182.9041
7.8441,102.9046,88.2060,89.0973,209.2764,183.1570
7.9098,103.1763,88.2695,89.1676,209.2896,182.9639
7.9692,103.4182,88.2004,89.2655,209.0002,182.2680
8.0403,103.6233,88.1468,89.3585,208.5249,180.5432
8.1083,103.7001,88.0371,89.4575,206.2983,176.4966
8.1790,103.6651,87.8438,89.5781,203.4922,172.8529
8.2560,103.6667,87.7859,89.3409,200.9513,169.3936
8.3304,102.9990,87.5170,89.2104,196.7280,163.9445
8.3950,102.5131,87.3747,89.1321,192.7713,159.1362
8.4623,101.7509,87.3725,89.0771,188.6224,151.1780
8.5227,101.0438,87.4149,89.0671,184.6973,142.7906
8.5858,100.4532,87.3844,88.9919,181.3206,135.1170
8.6643,100.2380,87.5521,88.8395,176.9337,127.1770
8.7239,99.9902,87.6034,88.6396,173.6441,120.6665
8.7926,99.7779,87.7568,88.4664,170.4343,115.0717
8.8594,99.6326,87.9281,88.3121,166.9886,110.1385
8.9208,99.5037,88.1413,88.1443,163.6367,106.0368
8.9952,99.5432,88.2865,87.9984,161.3627,102.1023
9.0614,99.5400,88.2942,87.8908,160.0987,98.4201
9.1299,99.8585,88.3885,87.7887,159.3738,97.7954
9.1914,100.4915,88.8186,87.7698,158.9045,97.8210
9.2658,100.8209,88.5204,87.5138,161.0984,103.4994
9.3299,101.1164,88.2075,87.2279,163.5238,109.5311
9.3929,101.5604,87.7820,87.0533,166.0373,115.3375
9.4617,102.0124,87.4918,86.9551,168.8097,121.2957
9.5233,102.1815,87.0508,86.9526,173.1948,129.6476
9.5972,102.2878,86.6964,87.0225,177.1845,137.1981
9.6666,102.1819,86.3792,87.1649,180.8249,144.7005
9.7270,101.8701,86.1317,87.3825,183.8836,151.3643
9.8003,101.7068,85.9450,87.5677,186.5198,157.0974
9.8638,101.6299,85.7745,88.0250,189.1035,161.8354
9.9319,101.3933,85.2381,89.0135,191.3988,165.4732
9.9898,101.4230,84.9265,89.6925,193.6391,168.8019
10.0653,101.1543,83.9760,91.3039,195.9464,170.7014
10.1318,101.1184,82.9206,92.8197,198.1864,172.0428
10.1938,101.0932,81.8172,94.4957,201.2028,172.9635
10.2695,101.9967,80.1631,96.8765,205.8082,173.2766
10.3480,103.0115,77.8917,99.4053,208.9847,173.4598
10.4065,103.7915,75.5121,101.9952,211.8152,175.0062
10.4872,104.1961,73.5366,104.3398,214.2802,176.7485
