time,theta1,theta2,theta3,theta4,theta5
3.0663,88.4645,88.0680,84.5731,267.8600,282.5493
3.0996,87.9515,88.7965,83.2967,266.8866,282.1249
3.1329,87.4167,89.3854,82.0605,266.0361,281.6670
3.1662,86.9479,90.1043,80.7255,265.2328,281.1978
3.1996,86.6310,90.7027,79.3954,264.5980,280.5579
3.2329,86.3286,91.1778,78.1140,264.1975,280.0153
3.2662,86.5614,91.0953,77.0375,264.1690,279.9117
3.2996,86.6429,92.1368,75.1654,263.8647,280.2461
3.3329,86.7611,93.0076,73.1840,264.2915,280.5352
3.3662,87.2795,93.6898,70.7795,264.7518,279.9337
3.3995,87.7116,94.5373,67.9400,265.6538,280.1447
3.4329,87.5217,95.7524,65.0145,266.4398,280.5177
3.4662,87.3311,97.0573,62.1707,267.4456,281.1747
3.4995,87.6040,98.1738,58.5874,268.1003,282.3763
3.5329,87.6149,99.4322,55.3433,268.5568,283.8104
3.5662,87.4911,100.7940,52.0256,269.1061,285.0701
3.5995,86.6553,102.2661,48.2045,269.6075,286.3511
3.6328,86.1703,104.1019,45.1396,270.7853,287.4620
3.6662,85.6607,106.0350,41.9762,271.7336,289.0225
3.6995,85.3417,107.8055,38.8413,272.5671,290.8792
3.7328,85.0144,109.4589,35.7150,273.6938,292.6555
3.7662,84.4091,111.2463,32.5978,274.4808,294.3682
3.7995,83.7715,113.1080,29.6636,275.3310,295.8782
3.8328,83.1010,115.2697,27.2890,276.4114,297.0758
3.8661,82.4192,117.5262,25.1881,277.3076,298.0104
3.8995,81.5383,119.6284,23.1698,277.9818,299.1019
3.9328,81.2506,121.4151,22.0093,278.7375,299.8300
3.9661,80.7108,123.2562,20.4940,279.4742,300.9373
3.9995,80.2235,124.6517,19.0013,279.9633,301.9451
4.0328,79.7590,126.0709,17.5540,280.4616,302.8720
4.0661,79.2847,127.3652,16.3262,280.7570,303.7100
4.0994,78.4100,128.8874,14.4990,280.9398,304.4852
4.1328,77.7250,130.0458,12.9319,281.2488,304.9054
4.1661,77.1008,131.1467,11.6194,281.7498,305.3386
4.1994,76.4829,132.2341,10.4711,282.2749,305.7007
4.2328,75.9994,133.2159,9.4871,282.7969,306.1556
4.2661,75.6889,134.0278,8.6750,283.2965,306.5205
4.2994,75.4819,134.7501,8.1638,283.7205,306.8719
4.3327,75.2820,135.6909,7.7051,284.2239,307.4286
4.3661,75.1633,136.5320,7.4280,284.7806,308.0744
4.3994,75.0316,137.2779,7.1428,285.2893,308.7705
4.4327,74.9284,137.9987,7.0457,285.5533,309.2730
4.4661,74.8552,138.7593,7.2835,285.6663,309.6385
4.4994,74.7856,139.5605,7.2958,285.8846,310.9040
4.5327,74.7768,140.3368,7.3938,285.9319,312.9732
4.5660,74.8532,140.8643,7.5276,285.6639,314.8845
4.5994,74.9841,141.3078,7.6599,285.2701,316.4270
4.6327,74.9314,141.4574,7.6247,284.3394,317.7850
4.6660,74.6978,141.6874,7.5556,283.2117,319.6926
4.6994,74.4940,141.8421,7.3125,281.6231,321.2240
4.7327,74.4203,141.9953,7.0578,280.0997,323.1862
4.7660,74.3432,141.9596,6.5225,278.1781,325.2822
4.7994,74.3928,141.9827,5.7826,276.1800,326.8485
4.8327,74.4161,142.0432,5.1858,274.0408,327.6068
4.8660,74.2620,142.2609,4.7560,271.9961,328.4756
4.8993,74.1876,142.5537,4.3893,270.3169,328.7114
4.9327,73.9308,142.9314,4.1019,268.4928,328.8138
4.9660,73.6218,143.3208,3.8157,266.7258,329.0053
4.9993,73.2451,143.8522,3.6210,264.7906,328.7821
5.0327,72.8515,144.3786,3.4827,262.9521,328.1896
5.0660,72.5535,144.9103,3.3737,261.1973,327.0207
5.0993,72.2898,145.7566,3.4330,259.4715,325.2440
5.1326,71.9988,146.4662,3.4827,258.1133,322.7313
5.1660,71.9251,146.7080,3.3238,257.3623,320.8328
5.1993,71.8232,146.9100,3.2080,257.2220,318.9633
5.2326,71.7117,147.1061,3.1002,257.8018,317.5710
5.2660,71.5527,147.3757,3.0145,258.9099,316.0298
5.2993,71.2498,147.7688,3.1138,260.4062,313.9847
5.3326,70.8527,148.6310,3.4185,262.1142,312.3792
5.3659,70.4562,149.5825,3.9095,264.0662,311.3213
5.3993,70.1720,150.1737,4.4072,265.9879,310.4075
5.4326,69.9103,150.5632,4.9339,268.1143,309.8882
5.4659,69.5644,151.0556,5.5576,270.0107,309.5767
5.4993,69.1516,151.5852,6.2437,271.7661,309.2820
5.5326,68.8345,152.1039,6.9232,273.4442,308.9856
5.5659,68.5384,152.6479,7.6511,274.9848,308.7226
5.5992,68.3088,153.1654,8.0777,276.6050,309.1297
5.6326,68.2200,153.6120,8.5210,278.0483,309.5840
5.6659,68.1156,154.0903,9.0637,279.2787,309.5895
5.6992,67.9970,154.6667,9.6110,280.2794,309.5092
5.7326,67.8157,155.2871,10.0565,281.1352,309.7071
5.7659,67.5193,155.9397,10.5209,281.7434,309.7001
5.7992,67.3031,156.4671,10.9415,281.9485,309.6922
5.8325,67.2240,156.9491,11.3100,281.9669,310.1161
5.8659,67.1169,157.0026,11.5716,281.5901,310.3230
5.8992,66.9050,156.7599,11.6196,281.0963,310.4272
5.9325,66.7448,156.7344,11.7113,280.3304,310.2977
5.9659,66.5683,156.7081,11.7531,279.6135,310.0463
5.9992,66.3716,156.7031,11.9207,278.8664,309.6646
6.0325,66.0566,156.9383,12.2424,278.2292,308.8737
6.0658,66.2487,156.9316,12.6418,277.2287,308.8263
6.0992,66.4428,156.9260,13.0425,276.4885,308.9460
6.1325,66.3059,157.3060,13.1783,276.2846,308.7307
6.1658,66.4692,157.8903,13.7548,275.6930,309.1386
6.1992,66.6872,158.5387,14.4048,275.2296,309.1036
6.2325,66.7782,158.9418,14.7836,274.6760,308.9844
6.2658,66.8800,159.3685,15.1582,274.2388,308.6105
6.2991,66.9110,159.9908,15.6100,273.8666,308.3659
6.3325,67.0731,160.7213,16.1400,273.6686,308.4604
6.3658,67.0410,161.8006,16.7500,273.5539,309.1195
6.3991,66.8541,162.6205,17.1156,273.6301,310.2769
6.4325,66.7455,163.2062,17.4696,273.9506,311.5909
6.4658,66.5894,163.9795,17.8123,274.3695,313.3680
6.4991,66.6284,164.7658,18.4453,274.7478,314.7088
6.5324,66.7709,165.3185,19.0148,275.2559,316.0612
6.5658,66.8856,165.5159,18.9717,275.8568,317.3926
6.5991,67.2313,165.4573,18.7379,276.3182,318.8983
6.6324,67.4984,164.9833,18.3754,276.5742,319.9555
6.6658,68.2972,164.4590,18.9265,276.6769,320.9252
6.6991,68.8567,163.2643,18.1723,276.6214,322.5078
6.7324,70.0269,161.7094,18.5059,275.8896,323.9217
6.7658,71.1869,160.1717,19.4028,275.1661,326.0117
6.7991,72.1537,158.2293,20.0042,274.5066,328.3681
6.8324,72.7542,156.0253,20.9497,273.5440,330.1676
6.8657,73.6234,153.2555,21.6825,272.6511,330.9753
6.8991,74.5287,150.3192,22.7680,271.4981,331.4647
6.9324,75.3144,147.1741,23.9959,270.2808,332.7979
6.9657,76.1159,144.6903,25.9500,269.1453,333.3021
6.9991,76.6667,142.1961,27.9808,268.1251,333.5116
7.0324,77.2648,140.0493,30.3582,267.4276,333.6980
7.0657,77.8313,137.9186,33.6424,266.5961,334.3117
7.0990,78.2992,135.2212,36.8543,266.2996,334.8590
7.1324,79.0324,132.0207,40.4164,266.8571,337.0419
7.1657,79.8157,129.5163,43.9005,267.5308,337.7763
7.1990,80.4202,126.9391,47.6793,267.8262,338.9760
7.2324,81.1666,124.1415,51.5472,267.9214,340.8425
7.2657,81.8690,121.4995,55.2130,268.0627,342.5625
7.2990,82.2045,119.0383,58.7801,268.5677,344.1617
7.3323,82.4531,116.6152,62.2136,269.0189,345.8208
7.3657,82.6092,114.4669,65.4245,269.6393,347.8204
7.3990,82.7127,112.6334,68.4143,270.6461,349.3026
7.4323,83.2062,111.0476,71.3990,272.3488,351.0286
7.4657,83.7008,109.3524,74.2630,274.5047,352.6183
7.4990,84.0853,107.9126,76.8019,276.8365,355.0444
7.5323,84.5932,106.1642,79.2603,278.8543,357.8459
7.5656,84.9823,104.4333,81.5270,280.7817,0.4210
7.5990,85.3085,102.7241,83.7192,282.6533,2.6399
7.6323,85.5917,101.2142,85.7410,284.4730,4.9806
7.6656,85.6473,99.9838,87.6183,285.9130,6.8369
7.6990,85.6841,98.7679,89.4505,286.9394,9.0621
7.7323,85.7301,97.7023,91.1872,287.8778,11.4550
7.7656,85.8550,96.7572,92.8026,288.8411,13.9355
7.7989,85.9784,95.9187,94.3436,289.4668,15.9961
7.8323,85.9988,95.2068,95.7806,290.0166,17.7002
7.8656,85.9533,94.6139,97.1511,290.4852,18.8313
7.8989,85.9338,94.0777,98.4237,291.0353,19.7856
7.9323,85.9428,93.5293,99.5854,291.5541,20.5671
7.9656,85.9075,93.1123,100.5318,292.0480,21.3453
7.9989,85.8814,92.7827,101.3414,292.6496,22.1149
8.0322,85.8774,92.4301,101.9848,293.2240,22.5245
8.0656,85.8619,92.0873,102.4970,293.7393,22.9773
8.0989,85.8337,91.8052,102.9018,294.2254,23.2859
8.1322,85.7918,91.5058,103.2292,294.8183,23.6002
8.1656,85.7561,91.2758,103.4871,295.3346,23.6031
8.1989,85.7787,91.0858,103.7069,295.8552,23.6137
8.2322,85.6777,91.0006,103.8389,296.3735,23.5757
8.2655,85.6408,90.8653,103.9824,296.9821,23.7318
8.2989,85.5743,90.7982,104.0329,297.6001,24.1811
8.3322,84.9209,90.8206,104.0851,298.0600,25.2075
8.3655,84.3690,90.8472,104.0999,298.7609,26.5770
8.3989,83.9306,90.8151,104.1511,299.8448,28.0477
8.4322,83.9482,90.4578,104.4282,301.3503,29.3158
8.4655,83.8703,90.2692,104.6562,302.9198,29.9548
8.4988,83.7696,90.1374,104.8489,304.5367,30.4316
8.5322,83.7222,89.9484,105.0145,306.2491,30.9439
8.5655,83.2652,90.0835,104.9965,307.9042,30.8120
8.5988,83.1701,89.8763,105.1064,309.9172,30.8155
8.6322,82.6794,89.9755,105.1083,311.8164,30.5985
8.6655,82.2987,90.0966,105.1003,313.8132,30.1879
8.6988,81.8659,90.1787,105.1310,315.6923,29.8065
8.7322,81.4927,90.2788,105.2040,317.3224,29.3098
8.7655,81.1685,90.3667,105.2204,319.1193,29.0247
8.7988,80.8852,90.3721,105.3269,320.6596,28.9640
8.8321,80.7065,90.3327,105.4135,322.0813,29.1892
8.8655,80.6192,90.2928,105.4109,323.6913,29.8605
8.8988,80.6438,90.2088,105.3878,325.4391,30.6952
8.9321,80.6425,90.1263,105.3327,327.3079,31.5972
8.9655,80.6920,90.0082,105.2354,329.2761,32.7888
8.9988,80.7268,89.8787,105.1376,330.9891,34.3996
9.0321,80.8634,89.7983,105.0385,332.2844,36.1741
9.0654,81.0500,89.7480,104.9086,333.8111,37.9300
9.0988,81.1825,89.6156,104.7986,335.3474,40.0081
9.1321,81.3934,89.5254,104.6967,336.7900,41.9143
9.1654,81.5713,89.4085,104.5006,338.3383,43.5696
9.1988,81.6273,89.2138,104.2465,339.9490,45.6170
9.2321,81.7628,88.9948,104.1918,341.5990,47.4817
9.2654,81.9136,89.4927,104.4288,342.7399,49.3533
9.2987,81.9044,89.0219,104.3739,344.4096,51.3771
9.3321,81.9558,88.9377,104.3600,346.0229,52.7975
9.3654,82.3368,88.9047,104.3458,347.8513,54.7257
9.3987,82.7210,88.7342,104.3560,349.7343,56.6158
9.4321,82.9956,88.6122,104.3914,351.4523,58.0504
9.4654,83.4078,88.4745,104.4077,353.0935,59.4254
9.4987,83.7848,88.2902,104.3157,354.7387,61.4371
9.5320,83.8149,88.2258,104.0884,356.8243,63.2868
9.5654,83.8129,88.1679,103.9682,359.0214,64.5525
9.5987,83.9644,87.9971,103.9516,0.6462,65.2066
9.6320,84.1932,87.7946,104.0030,2.2500,66.0334
9.6654,84.2056,87.6094,103.9751,3.9510,67.2504
9.6987,84.2206,87.7657,103.8665,5.7683,67.2444
9.7320,84.1624,87.9310,103.8015,7.3595,67.1909
9.7653,84.0598,88.1369,103.7339,8.5345,67.2323
9.7987,84.1520,88.2648,103.7508,9.3694,67.2243
9.8320,84.1708,88.2975,103.7431,10.3587,67.7391
9.8653,84.0840,88.3175,103.6809,11.1729,68.6174
9.8987,84.0669,88.1524,103.4982,12.4752,70.3506
9.9320,84.0328,87.9358,103.2334,13.9863,72.5279
9.9653,84.0811,87.7104,103.0666,15.2785,74.5463
9.9986,83.9735,87.4395,102.7625,17.2427,76.8798
10.0320,83.9252,87.2091,102.5164,18.8947,78.7886
10.0653,83.8253,86.9714,102.2917,20.5241,80.6836
10.0986,83.5712,86.7505,102.0301,22.4821,82.1232
10.1320,83.0926,86.4573,101.6984,24.7724,83.9301
10.1653,82.5949,86.1384,101.3937,27.0546,85.0705
10.1986,82.2145,85.7769,101.1306,29.2587,86.6167
10.2319,81.8993,85.0532,100.9882,31.3953,89.6411
10.2653,81.5124,84.4914,100.8366,33.4024,91.9064
10.2986,81.1044,85.2129,100.8500,34.1382,92.1116
10.3319,80.8821,84.9592,100.6066,35.6484,92.9812
10.3653,80.6904,84.7430,100.3271,37.2235,93.4323
10.3986,80.3184,85.4101,100.3375,37.7477,93.5459
10.4319,79.9979,85.9899,100.3174,38.4835,93.2818
10.4652,79.7194,86.4715,100.2921,39.2318,92.5973
10.4986,79.5050,86.8644,100.2854,40.0376,92.0344
10.5319,79.2877,87.1528,100.2700,40.8509,91.4929
10.5652,79.2337,87.5435,99.9372,41.7765,89.4862
10.5986,79.1627,87.9401,99.6349,42.5281,88.7707
10.6319,79.0577,88.2641,99.3917,43.1640,87.5606
10.6652,78.9187,88.5567,99.1396,43.7113,85.9862
10.6986,78.5949,88.6219,98.9715,44.2474,84.1394
10.7319,78.2885,88.6402,98.7784,44.6360,82.4866
10.7652,77.8738,88.7022,98.5103,45.1344,80.9546
10.7985,77.4923,88.7100,98.2111,45.8098,80.1746
10.8319,77.2742,88.7392,97.9558,46.3612,79.0904
10.8652,77.0612,88.7550,97.7159,46.8070,78.4789
10.8985,76.9082,88.7363,97.4888,47.1074,77.7066
10.9319,76.6822,88.7204,97.2310,47.4946,77.0797
10.9652,76.9316,87.9030,97.0059,47.7357,79.7195
10.9985,77.1764,87.3206,96.6907,48.0550,81.3515
11.0318,77.4014,86.9481,96.2920,48.4535,82.6097
11.0652,77.6360,86.5021,95.8445,48.6837,83.5386
11.0985,77.8428,86.1631,95.4070,48.5644,84.0898
11.1318,78.0797,85.9100,94.9238,48.4859,85.3773
11.1652,78.2647,85.9532,94.3922,48.2261,84.9126
11.1985,78.3642,85.8997,93.9879,47.7262,84.9821
11.2318,78.1597,86.2478,93.6758,47.2366,83.6986
11.2651,78.0364,86.5491,93.2697,47.0206,83.7822
11.2985,78.2614,86.7246,92.8663,46.2012,82.1439
11.3318,78.3067,86.7842,92.6037,45.4062,80.2939
11.3651,78.2740,86.7991,92.3334,44.9480,78.6276
11.3985,78.2054,86.8080,92.1610,44.8484,76.9476
11.4318,78.1726,86.8191,92.0104,44.6614,74.7882
11.4651,78.1324,86.8436,91.7949,44.1630,72.9529
11.4984,77.9337,86.2531,91.7328,44.4047,73.4474
11.5318,77.7539,85.8252,91.6311,44.3463,73.5410
11.5651,77.5520,85.4608,91.4922,44.0423,73.3408
11.5984,77.6939,85.2237,91.4021,43.4439,72.9167
11.6318,77.6041,85.1847,91.1049,42.3376,71.7183
11.6651,77.6921,85.0788,90.8985,41.4019,70.5001
11.6984,77.8959,85.1250,90.6751,40.4760,69.4754
11.7317,78.1110,85.2874,90.3511,39.5661,68.5091
11.7651,78.3306,85.3938,90.0696,38.8563,67.8046
11.7984,78.4796,85.4905,89.6969,38.5972,66.9597
11.8317,78.6938,85.6262,89.3181,38.4933,66.1417
11.8651,79.2158,85.7596,89.0215,38.7396,65.2651
11.8984,79.3288,85.8987,88.6965,38.9830,64.9443
11.9317,79.4303,86.1540,88.3293,39.3787,64.2476
11.9650,79.4261,86.4136,87.8902,39.8091,63.5303
11.9984,79.5560,86.5850,87.5566,39.9118,62.6123
12.0317,79.6329,86.7240,87.2798,40.3268,61.7971
12.0650,79.7860,86.7759,87.0238,40.3895,61.1931
12.0984,79.8332,86.6609,86.8459,40.1525,60.6039
12.1317,79.6792,86.4709,86.6628,39.9776,60.1882
12.1650,79.4446,86.3524,86.4149,40.1473,59.7076
12.1983,79.2621,86.1568,86.2070,39.7786,59.4600
12.2317,79.2988,85.9686,86.1773,39.8163,59.0605
12.2650,79.0769,85.7965,85.9965,39.7302,59.0410
12.2983,79.0782,85.7222,85.9422,39.7655,58.8140
12.3317,79.0953,85.6802,85.8955,40.2643,58.6985
12.3650,79.1279,85.7673,85.9659,40.8476,58.8380
12.3983,79.0825,85.8676,85.9962,41.4155,58.8843
12.4317,79.1328,85.7913,86.0837,42.5668,59.1249
12.4650,79.0894,85.8142,86.0985,43.0844,59.1480
12.4983,79.0320,85.9769,86.1268,42.7127,59.0699
12.5316,78.9794,86.0804,86.2274,42.3619,59.2217
12.5650,78.7776,86.1939,86.2765,42.1262,59.4731
12.5983,78.6084,86.3251,86.3593,42.3168,59.4544
