time,theta1,theta2,theta3,theta4,theta5
15.4646,76.6050,90.1931,89.4882,25.9906,34.2144
15.4979,76.2043,90.3865,89.1048,29.1162,34.4408
15.5312,75.8385,90.5645,88.7299,31.7322,34.8593
15.5646,75.8291,90.3503,88.2658,34.2884,37.3026
15.5979,76.1127,90.1773,87.8782,36.3930,39.1756
15.6312,76.1099,90.3572,87.6233,37.5434,39.2668
15.6645,76.3573,90.1420,87.3732,39.2465,41.3266
15.6979,76.4445,90.3508,87.2690,40.0505,40.7528
15.7312,76.4828,90.5752,87.2312,40.6328,40.3817
15.7645,76.3946,90.4231,87.3806,42.7381,43.0773
15.7979,76.2517,90.2540,87.6136,44.7283,44.6610
15.8312,76.9741,89.7943,87.9816,33.8836,40.7872
15.8645,76.6564,89.7758,88.2273,37.0271,42.1337
15.8978,76.3863,89.8292,88.4695,39.8312,43.7436
15.9312,75.7299,89.9561,88.5801,42.8033,43.8632
15.9645,75.0926,90.1510,88.6314,45.6413,43.0761
15.9978,74.7116,90.2446,88.8128,47.9204,42.4521
16.0312,74.7348,90.3093,88.9926,49.2872,44.8008
16.0645,75.1783,90.4454,89.2786,49.4474,46.7087
16.0978,75.5266,90.5976,89.5805,49.8049,48.4795
16.1311,75.9521,90.8033,90.0310,49.7766,50.9831
16.1645,76.4826,90.7483,90.5237,49.6537,54.2349
16.1978,76.9996,90.7122,90.8924,49.9452,57.2492
16.2311,77.4023,90.7932,91.2469,50.4674,58.4461
16.2645,77.8316,90.7499,91.7286,51.0813,60.1897
16.2978,78.3933,90.4457,91.9774,51.1982,63.5105
16.3311,79.0817,90.3304,92.1855,50.7580,65.0483
16.3645,79.5492,90.1952,92.4206,50.5122,66.5824
16.3978,79.9682,90.1681,92.6405,50.4969,66.7682
16.4311,80.2234,90.2469,92.7833,50.8624,67.3389
16.4644,82.3278,88.7402,92.6788,41.7504,66.3698
16.4978,83.9816,87.3106,92.5650,35.5042,66.2424
16.5311,85.3490,86.0168,92.3890,31.0890,66.6849
16.5644,86.4737,84.9798,92.2885,27.5457,66.6994
16.5978,87.3921,84.0651,92.1289,25.6392,66.7466
16.6311,88.1987,83.3068,91.8181,24.9556,66.8056
16.6644,87.8043,83.9748,92.4051,30.5073,65.1847
16.6977,87.5377,84.6030,92.9259,35.0309,64.2971
16.7311,88.2745,83.8214,92.6628,32.3270,64.6395
16.7644,88.9101,83.1228,92.4229,29.8932,65.0621
16.7977,88.0893,83.8423,92.6585,33.2695,65.3644
16.8311,88.6514,83.2398,92.1971,30.9831,65.7351
16.8644,87.9374,83.8948,92.3473,33.9200,65.6629
16.8977,87.2829,84.4865,92.4719,36.0023,65.1461
16.9310,86.6539,85.0357,92.5169,37.5181,64.6139
16.9644,86.0302,85.4667,92.5476,39.1732,64.0417
16.9977,85.5453,85.8925,92.5607,40.5210,63.4154
17.0310,85.1491,86.3067,92.5381,41.6719,63.4490
17.0644,84.7311,86.6746,92.5463,42.3667,62.9999
17.0977,84.2947,87.0171,92.3500,42.8426,62.0355
17.1310,83.7825,87.2903,92.0837,43.2463,61.3654
17.1643,83.2165,87.3893,91.4983,42.7245,60.6961
17.1977,82.5206,87.7933,90.8694,41.9084,59.9975
17.2310,81.9632,88.1952,90.3152,41.1747,59.0122
17.2643,81.7062,88.5363,89.8499,40.6488,58.2722
17.2977,81.4151,88.5726,89.5172,40.5580,57.7913
17.3310,81.2745,88.9397,89.2615,40.7240,57.0173
17.3643,81.2608,89.3511,89.0888,40.8382,56.2854
17.3976,81.0811,89.7995,88.8486,41.1530,55.6859
17.4310,80.8617,90.1889,88.7192,41.8547,55.3427
17.4643,80.7271,90.6532,88.7097,42.2554,55.8269
17.4976,80.5769,91.0223,88.7492,42.6030,56.1815
17.5310,80.3666,91.3284,88.7495,42.4399,56.4832
17.5643,80.3097,91.6285,88.7349,41.8591,56.7381
17.5976,80.2721,91.8720,88.6979,41.6231,57.3799
17.6309,80.1534,91.8882,88.6897,41.1994,58.0951
17.6643,80.0584,91.9254,88.7620,40.5622,59.1039
17.6976,79.9878,92.0010,88.8580,40.1368,60.0291
17.7309,79.9547,92.0947,89.0183,39.6154,60.6493
17.7643,80.0534,92.0564,89.2913,39.8645,61.6208
17.7976,80.1112,92.1005,89.6097,39.9850,62.3600
17.8309,80.2679,92.1602,90.0654,40.5609,63.1412
17.8642,80.3570,92.1162,90.5583,41.6318,64.1987
17.8976,80.3867,92.0056,91.1077,42.1962,64.5043
17.9309,80.4433,91.8469,91.5695,42.7586,64.3585
17.9642,80.4202,91.7073,91.9165,43.2342,64.2561
17.9976,80.3961,91.5965,92.2002,43.4917,64.2085
18.0309,80.3755,91.3701,92.4603,43.5520,64.3135
18.0642,80.4420,91.2861,92.6356,43.5723,64.5452
18.0975,80.6911,91.1657,92.8211,43.5070,64.7710
18.1309,80.7386,91.1271,92.9836,43.3353,64.9662
18.1642,80.6526,91.0652,93.1172,43.3809,65.0691
18.1975,80.5458,91.0891,93.2779,43.2386,65.8502
18.2309,80.4233,90.9953,93.4904,43.6302,66.2764
18.2642,80.3197,90.8883,93.6366,44.3275,67.0174
18.2975,80.2476,90.7771,93.8080,45.1977,67.7473
18.3309,80.2414,90.6483,93.9696,46.1216,68.4084
18.3642,80.2964,90.4769,94.1334,46.7710,69.5995
18.3975,80.4091,90.2760,94.3187,47.4476,70.8694
18.4308,80.4741,90.1510,94.5674,47.8622,71.6179
18.4642,80.5431,90.0304,94.8538,48.2606,72.2994
18.4975,80.6224,89.8490,95.1391,48.6204,73.1898
18.5308,80.6416,89.6857,95.4485,48.8612,74.2533
18.5642,80.5469,89.5929,95.7752,49.0867,74.6757
18.5975,80.5360,89.5258,96.0703,48.9442,75.1194
18.6308,80.6430,89.5541,96.3238,49.2331,75.3746
18.6641,80.8192,89.5749,96.5844,49.3593,75.5961
18.6975,80.9217,89.5176,96.9272,49.0616,75.6600
18.7308,81.0534,89.4246,97.2271,49.0042,76.2700
18.7641,81.2400,89.2632,97.5234,49.0472,76.9077
18.7975,81.6906,88.7347,97.7288,47.8204,78.8702
18.8308,82.0649,88.6671,97.9063,46.4311,79.4782
18.8641,81.8667,88.5728,98.0559,46.0722,80.0666
18.8974,81.4723,88.3390,98.1197,45.9211,82.0019
18.9308,81.0558,88.0734,98.3925,45.4047,83.0126
18.9641,80.6544,87.8610,98.5611,44.8040,84.3866
18.9974,80.1823,87.8004,98.8939,43.8706,84.1853
19.0308,79.7401,87.8125,99.0939,42.8927,84.9554
19.0641,79.5274,87.9253,99.3092,41.2584,84.9398
19.0974,79.1832,88.0949,99.4781,39.9236,84.3051
19.1307,79.1655,88.1216,99.6016,38.3174,84.4112
19.1641,79.2371,88.1759,99.7587,36.7432,84.0011
19.1974,79.3228,88.2870,99.8705,35.1584,84.2662
19.2307,79.4498,88.4026,100.0176,33.3368,84.1502
19.2641,79.5849,88.5580,100.2541,31.2800,83.2671
19.2974,79.8640,88.7488,100.4849,28.9603,82.4147
19.3307,80.0168,89.0329,100.6602,26.5388,81.1335
19.3640,80.1780,89.3528,100.7717,23.9253,80.0052
19.3974,80.1639,89.7744,100.8335,21.3414,78.6033
19.4307,80.2736,90.2023,100.8736,18.5555,76.7935
19.4640,80.0990,90.4846,100.7176,16.6787,76.0978
19.4974,80.1801,90.4747,100.6081,14.7056,75.3751
19.5307,80.2546,90.5182,100.4731,12.8388,74.7116
19.5640,80.2415,90.5958,100.3351,11.2384,74.2087
19.5973,80.2297,90.6551,100.1906,9.9015,73.9743
19.6307,80.3154,90.6534,100.1690,8.5620,73.7254
19.6640,80.3779,90.6761,100.2050,6.8770,73.5727
19.6973,80.3778,90.6924,100.2904,5.2246,73.3766
19.7307,80.0321,90.5419,100.3010,4.0602,72.8895
19.7640,79.8302,90.7449,100.4116,2.5761,72.2552
19.7973,80.0301,90.8031,100.6179,0.8424,71.6641
19.8306,79.9154,91.1055,100.5661,359.1976,71.0856
19.8640,79.7498,91.0914,100.6139,357.5414,70.4301
19.8973,79.5664,91.1174,100.7347,355.9623,69.8843
19.9306,79.5276,91.1832,100.8596,354.5009,69.2038
19.9640,79.5430,91.2741,100.9824,352.9826,68.4791
19.9973,79.3684,91.3585,101.0533,351.8362,67.4189
20.0306,79.2595,91.5018,101.1280,350.3399,66.4652
20.0640,79.1957,91.6707,101.2250,348.5489,65.4058
20.0973,79.0809,91.8582,101.2777,346.7158,64.6560
20.1306,78.8966,92.1151,101.2528,345.0492,63.7859
20.1639,78.8953,92.3514,101.2363,343.4934,63.1340
20.1973,78.9697,92.5458,101.2165,341.8980,62.2574
20.2306,79.0862,92.7410,101.1941,340.3800,61.3084
20.2639,79.2492,92.9497,101.1361,339.0789,60.2453
20.2973,79.3745,93.0850,101.0818,337.9199,59.4187
20.3306,79.5883,93.1688,101.1036,336.7190,58.8241
20.3639,79.7556,93.2759,101.1604,335.5650,57.7603
20.3972,79.9032,93.3645,101.2504,334.5223,56.3787
20.4306,80.0264,93.4667,101.3169,333.6374,54.9513
20.4639,80.1021,93.5628,101.3748,332.8062,53.6568
20.4972,80.1413,93.6697,101.4628,332.1323,51.9707
20.5306,80.9290,93.2589,101.8282,331.5878,50.6895
20.5639,81.5094,92.9092,102.1624,330.9259,49.4463
20.5972,82.0398,92.5835,102.5001,330.1314,47.8981
20.6305,81.8900,92.6768,102.5770,329.0767,46.1900
20.6639,81.9900,92.5347,102.8316,328.1666,45.9792
20.6972,82.0725,92.4810,103.0280,327.1000,45.6662
20.7305,82.2102,92.4036,103.2872,325.9760,44.9016
20.7639,82.3856,92.3283,103.5026,324.8941,43.9105
20.7972,82.6557,92.2911,103.6277,323.7944,43.1926
20.8305,82.8130,92.4498,103.5782,322.5268,41.8807
20.8638,83.2208,92.2420,103.6653,321.5530,40.3311
20.8972,83.5242,92.0564,103.6740,320.5835,38.7717
20.9305,83.7829,91.9819,103.6360,319.5764,36.9690
20.9638,83.7146,92.3325,103.4395,318.8448,35.3481
20.9972,84.0106,92.0191,103.3541,318.2614,32.3634
21.0305,84.1948,91.8358,103.1946,317.3552,29.5338
21.0638,84.3941,91.7624,102.9411,316.3438,26.9663
21.0971,84.5967,91.6853,102.6441,314.9606,24.8547
21.1305,84.8465,91.6804,102.2374,313.6944,23.1269
21.1638,85.0647,91.7709,101.8007,312.4310,21.3506
21.1971,85.2531,91.8182,101.3849,311.2744,19.6130
21.2305,85.4348,91.8630,101.0082,310.1606,17.7753
21.2638,85.6638,91.8423,100.6915,308.9942,16.1193
21.2971,85.8749,91.8542,100.3688,307.7089,14.4186
21.3304,85.9859,91.8761,100.1222,306.3333,12.8456
21.3638,86.0734,91.8749,99.8800,304.9952,11.0294
21.3971,86.1321,91.8487,99.6209,303.5363,8.9751
21.4304,86.2607,91.9421,99.3826,302.0979,7.4165
21.4638,86.3504,92.0315,99.1446,300.5514,5.8451
21.4971,86.5050,92.0788,98.8865,299.0393,4.5556
21.5304,86.5492,92.1497,98.6039,297.3870,3.0187
21.5637,86.5412,92.3192,98.3189,295.8538,1.6212
21.5971,86.5411,92.4305,98.0398,294.2229,0.5694
21.6304,86.5213,92.6323,97.7049,292.6736,359.9541
21.6637,86.4750,92.7956,97.3044,290.9164,359.3822
21.6971,86.3669,92.9882,96.8270,288.9018,358.4756
21.7304,86.3447,93.0964,96.3828,287.0456,357.8480
21.7637,86.3405,93.2895,95.8945,285.3531,357.0269
21.7970,86.3834,93.4865,95.4211,283.9125,356.1468
21.8304,86.4243,93.6606,94.9581,282.7273,355.0963
21.8637,86.5668,93.8038,94.4890,281.7661,354.0052
21.8970,86.6787,93.9492,94.0555,280.9456,352.8993
21.9304,86.8355,94.0402,93.6759,280.2173,351.6875
21.9637,86.9497,94.1805,93.2637,279.3958,350.6349
21.9970,87.0841,94.3087,92.8361,278.6009,349.8456
22.0304,87.2953,94.4294,92.3608,277.8004,349.5255
22.0637,87.4667,94.8200,91.7004,276.3842,348.5483
22.0970,87.5921,95.2072,90.9466,275.0315,347.5496
22.1303,87.7519,95.3774,90.2962,274.3646,347.0075
22.1637,87.8596,95.6100,89.5686,273.7892,346.2579
22.1970,87.9533,95.9001,88.7293,273.1381,345.1809
22.2303,88.2201,96.4970,87.6565,271.8303,344.1194
22.2637,88.3207,97.2353,86.3629,270.4425,343.1070
22.2970,88.3082,98.0535,84.7835,269.0439,341.7912
22.3303,88.5430,98.6571,83.1561,267.8242,340.4872
22.3636,88.9533,98.9224,81.6850,267.1651,338.8063
22.3970,89.1430,99.4952,79.9519,266.0344,336.5717
22.4303,89.4042,100.1767,78.2143,264.8102,334.6618
22.4636,89.5935,100.9611,76.2389,263.5503,333.2852
22.4970,89.5455,101.9149,74.3806,262.2612,331.7341
22.5303,89.4267,102.9433,72.3657,260.8522,329.8551
22.5636,89.2204,104.0750,70.2290,259.6252,328.4084
22.5969,89.0034,105.2476,68.0370,258.4297,326.9050
22.6303,88.8312,106.0602,65.5252,257.2909,325.2880
22.6636,88.7664,107.0674,62.8777,256.0690,324.6134
22.6969,88.7309,107.9754,60.2385,255.2277,323.9098
22.7303,88.3572,108.6131,57.5936,254.4430,323.0491
22.7636,88.2855,109.1379,54.8365,253.8441,321.6138
22.7969,88.5306,109.6943,52.1820,253.5464,319.8680
22.8302,88.3891,110.0118,49.2639,253.2009,318.3809
22.8636,88.2640,110.4508,46.2572,253.3146,316.8842
22.8969,88.4859,111.0295,43.5951,253.6537,315.4476
22.9302,88.7103,111.3252,41.2929,253.6000,314.7005
22.9636,88.6181,111.8567,38.8094,253.6378,313.9622
22.9969,88.4568,112.4260,36.2465,253.7634,312.8614
23.0302,88.1446,113.3265,33.7599,253.7971,311.9001
23.0635,88.0319,114.0426,31.2243,253.8481,310.9613
23.0969,87.6972,115.0284,28.8204,254.0210,310.2857
23.1302,87.0196,116.4123,26.1054,254.9589,309.3255
23.1635,86.1712,117.7664,23.3713,255.6991,308.9854
23.1969,85.4264,119.0872,21.0447,256.7567,308.4814
23.2302,84.7960,120.1249,18.8627,257.8068,307.7067
23.2635,84.0219,121.2457,16.8574,258.8345,307.2341
23.2968,83.2584,122.3912,14.7445,259.7589,306.8335
23.3302,82.8298,123.7552,13.2317,259.7482,306.5683
23.3635,82.4064,125.3930,12.1824,259.9703,306.6294
23.3968,82.1894,126.9720,11.2117,260.3796,306.4733
23.4302,81.7650,128.8591,10.4294,260.5481,305.9643
23.4635,81.3303,130.6203,9.6071,260.8573,305.5042
23.4968,80.6371,132.5729,8.9363,261.1208,305.5179
23.5301,80.1136,134.3170,8.2559,261.7210,305.2863
23.5635,79.8262,135.5837,7.6057,262.5839,305.1728
23.5968,79.3502,136.8971,7.0796,263.3289,305.1197
23.6301,78.9415,138.0055,6.7048,264.0980,305.1866
23.6635,79.4808,138.8599,7.4942,265.2750,304.9782
23.6968,79.8375,139.5114,8.0479,266.2105,304.6431
23.7301,80.1148,140.0087,8.5648,267.1082,304.4326
23.7634,80.2444,140.4315,8.9266,267.9443,304.5381
23.7968,79.4829,140.3485,9.4942,267.9129,305.5873
23.8301,78.6083,140.1240,9.5619,267.8988,306.5841
23.8634,77.5447,140.2958,9.4268,267.8921,307.3977
23.8968,76.5815,140.9068,8.1497,268.8908,307.4468
23.9301,75.6865,141.6220,7.0049,269.9919,307.3785
23.9634,74.9086,142.2159,6.1025,270.8859,307.2464
23.9968,74.2464,142.7852,5.2841,271.8336,307.5633
24.0301,73.5753,143.1012,4.6354,272.5110,307.6397
24.0634,72.8063,143.7668,4.2715,273.5005,308.0740
24.0967,71.9033,144.5818,4.0658,274.2854,308.6451
24.1301,71.1655,145.4850,4.0956,275.2410,309.0243
24.1634,70.5155,146.1544,4.0676,276.2784,309.2335
24.1967,69.7774,146.6816,4.0899,277.1164,309.3077
24.2301,69.0226,146.7771,4.0153,277.7173,309.0773
24.2634,68.4905,146.7122,3.9081,278.3492,308.9312
24.2967,68.0561,146.4763,3.8153,278.9393,308.7396
24.3300,67.6400,145.9880,3.6483,279.4904,308.6548
24.3634,67.3152,145.5585,3.5495,280.0617,308.5439
24.3967,66.9324,145.1278,3.3921,280.7000,308.7056
24.4300,66.6037,144.8451,3.1371,281.5610,309.1313
24.4634,66.4301,144.6423,2.9829,282.6501,309.8227
24.4967,66.2336,144.5851,2.7042,283.9301,311.1543
24.5300,66.1410,144.4336,2.4882,285.2444,312.8913
24.5633,66.1182,144.2088,2.2773,286.2055,314.4165
24.5967,66.0339,144.2652,2.2251,286.6841,315.9445
24.6300,65.9705,144.7066,2.3466,286.9713,318.2607
24.6633,65.8336,145.1177,2.5562,286.7246,321.8303
24.6967,65.7134,145.5058,2.8727,285.9010,325.4357
24.7300,65.6440,145.9384,3.0874,284.4206,329.6524
24.7633,65.5676,145.8971,3.1617,282.3527,333.3341
24.7966,65.7472,145.7195,3.0356,280.1243,336.8104
24.8300,66.1101,145.4145,3.0495,278.0347,340.0454
24.8633,66.4062,145.1967,3.0918,276.2190,341.4761
24.8966,66.6672,144.8942,3.2164,274.6714,342.0454
24.9300,66.8636,144.3532,3.3208,273.4767,342.9562
24.9633,67.1807,143.5248,3.4166,272.5729,342.9505
24.9966,67.5352,142.5091,3.7345,271.9001,342.6671
25.0299,68.1888,141.4821,4.1798,271.7015,342.2942
25.0633,69.0078,140.3372,4.4091,271.6740,341.6648
25.0966,70.0203,139.2669,4.6033,272.1219,341.0352
25.1299,71.1816,138.1740,4.8001,272.7812,339.2762
25.1633,72.3019,137.1546,5.0385,273.2695,337.2328
25.1966,73.3791,136.1805,5.1461,274.2384,335.4619
25.2299,74.2255,135.5673,5.2325,275.3332,333.1919
25.2632,75.0683,134.6778,5.2830,276.4460,330.5962
25.2966,75.9104,133.8358,5.5575,277.9048,328.3551
25.3299,76.5836,133.1873,6.0230,279.3731,326.2283
25.3632,77.0963,132.7656,6.3341,280.8705,324.1117
25.3966,77.6152,132.2719,6.7316,282.6721,322.0751
25.4299,77.9944,131.7192,7.0938,284.3658,320.3834
25.4632,78.2915,131.4102,7.2750,286.0668,319.0474
25.4965,78.4890,131.3476,7.5097,287.5161,317.9236
25.5299,78.6636,131.2814,7.6587,288.7716,317.1217
25.5632,78.8547,131.1404,7.6337,289.8048,316.5264
25.5965,78.9871,131.0202,7.8257,290.4865,316.1294
25.6299,79.0811,130.9429,7.8630,291.1006,315.7159
25.6632,79.3225,130.6716,7.5818,291.6506,315.0501
25.6965,79.3404,130.4478,7.6204,291.8675,314.8168
25.7298,79.3197,129.9939,7.6675,291.9050,314.6184
25.7632,79.2744,129.4404,7.8870,291.8691,314.1739
25.7965,79.2231,128.9234,8.0780,291.6022,313.5893
25.8298,79.1944,128.2753,8.2981,291.0426,312.8659
25.8632,79.0227,127.6916,8.6684,290.0822,311.7682
25.8965,79.1489,127.1482,8.9826,288.9272,309.9729
25.9298,79.1644,126.4288,9.3622,287.4862,307.8586
25.9632,79.3777,125.5576,9.9767,285.7101,305.3286
25.9965,79.4913,124.7751,10.9297,283.4452,302.7097
26.0298,79.9247,123.8540,12.5734,280.8683,299.8903
26.0631,80.3252,122.7405,14.6324,278.2966,296.0339
26.0965,81.0518,121.6110,17.0816,275.2894,292.1477
26.1298,81.9038,119.7807,19.8300,271.9892,288.6063
26.1631,82.6050,118.0936,23.0992,268.7322,285.4417
26.1965,83.0930,116.4371,26.3536,265.4089,282.7075
26.2298,83.8153,114.8453,29.9461,262.8020,279.8266
26.2631,84.0549,113.4161,33.7456,260.3781,277.4082
26.2964,84.3439,111.9787,37.5746,258.6345,275.3804
26.3298,84.5061,110.5106,41.5645,257.2789,273.9180
26.3631,84.5338,109.1230,45.3368,256.2471,272.9506
26.3964,84.4466,107.7954,48.8139,255.4953,272.2817
26.4298,84.4891,106.4667,52.3536,255.2169,272.0283
26.4631,84.4182,105.0578,55.7013,255.1456,271.8911
26.4964,84.6756,103.4317,59.2300,255.7354,272.1963
26.5297,84.8012,101.8207,62.6508,256.5536,272.7316
26.5631,84.9711,100.4066,65.8568,257.8704,273.8405
26.5964,85.1904,99.0920,69.0076,259.6525,275.0714
26.6297,85.4056,97.8167,71.9780,261.5873,276.3928
26.6631,85.6890,96.4903,74.8881,263.7096,277.9289
26.6964,86.0726,95.2666,77.6284,265.6663,279.7495
26.7297,86.5166,94.1635,80.1654,267.7107,281.7646
26.7630,86.5601,93.3140,82.2897,269.4642,283.9935
26.7964,86.4214,92.7415,84.2109,271.1743,286.1694
26.8297,86.3693,92.3007,85.9181,272.7931,288.0162
26.8630,86.3706,91.9412,87.4841,274.3202,289.7790
26.8964,86.4248,91.6355,88.8443,275.7467,291.3587
26.9297,86.5285,91.3812,90.0878,277.0911,292.7587
26.9630,86.6493,91.2103,91.1387,278.1790,293.8237
26.9963,86.8023,91.0482,92.1457,279.0562,294.5866
27.0297,87.0416,90.8718,93.3567,280.1050,294.8496
27.0630,87.1083,90.7379,94.2898,280.6920,295.1530
27.0963,87.1571,90.6224,95.1442,280.9907,295.2598
27.1297,87.2083,90.5287,95.8929,281.0913,295.2877
27.1630,87.1953,90.4941,96.5619,281.1649,294.9803
27.1963,87.0911,90.5586,97.0744,281.1354,294.7668
27.2296,86.9677,90.5082,97.5097,281.1088,294.4504
27.2630,86.7431,90.5697,97.7793,281.0783,294.0240
27.2963,86.5053,90.4484,97.9906,280.9367,293.3127
